Name,Age,Salary,Purchased
Pooja,,62841,Yes
Vihaan,46.0,95640,Yes
Aarav,32.0,90510,No
Meera,60.0,59911,No
Rohan,25.0,84031,No
Rahul,38.0,113726,No
Rahul,56.0,32357,No
Arjun,,57479,Yes
Meera,40.0,86476,No
Vihaan,28.0,69811,Yes
Neha,28.0,61208,Yes
Meera,41.0,45150,No
Sneha,53.0,96180,Yes
Aditya,57.0,68286,Yes
Kavya,41.0,137856,Yes
Sanjay,20.0,93450,Yes
Vivaan,39.0,46352,No
Aarav,,80069,Yes
Aditya,,136888,No
Krishna,47.0,135448,No
Rahul,,39397,Yes
Priya,19.0,66555,No
Aisha,38.0,71959,No
Aarav,,25728,No
Sneha,29.0,75517,Yes
Krishna,39.0,144180,No
Riya,42.0,91234,No
Pooja,44.0,64954,No
Riya,59.0,72280,Yes
Sneha,45.0,104459,No
Sanjay,33.0,41779,Yes
Rahul,32.0,88932,Yes
Ananya,20.0,97936,Yes
Kavya,54.0,49466,Yes
Rohan,24.0,61939,Yes
Ishita,38.0,94896,Yes
Aditi,26.0,60270,No
Aarav,56.0,84163,Yes
Nisha,35.0,107637,No
Ishita,21.0,76934,No
Sai,42.0,89895,Yes
Riya,31.0,57307,No
Sanjay,,79098,No
Vikram,43.0,85921,No
Rohan,19.0,30486,No
Arjun,37.0,33335,Yes
Krishna,45.0,111900,No
Nisha,24.0,146954,Yes
Vikram,,127795,No
Vihaan,52.0,114112,No
Aditya,31.0,122203,Yes
Amit,34.0,36130,No
Vihaan,53.0,112508,No
Raj,57.0,130955,No
Aditi,21.0,143324,Yes
Raj,19.0,85566,No
Aisha,23.0,91703,Yes
Rohan,59.0,52192,No
Ishita,21.0,26062,Yes
Vivaan,46.0,109076,Yes
Meera,35.0,114780,No
Ananya,43.0,46545,No
Sneha,51.0,46689,Yes
Vihaan,27.0,36174,Yes
Amit,53.0,113461,No
Aditya,,128033,Yes
Sneha,48.0,34348,No
Karan,32.0,48714,No
Simran,25.0,63102,No
Pooja,31.0,99460,No
Aisha,40.0,127634,Yes
Aditi,57.0,114930,No
Raj,38.0,31801,Yes
Kavya,33.0,128150,No
Krishna,35.0,97267,Yes
Riya,41.0,73136,No
Aditya,43.0,48625,Yes
Vivaan,42.0,107873,Yes
Neha,58.0,125843,No
Rahul,46.0,97592,No
Nisha,32.0,102052,No
Karan,18.0,69261,No
