Name,Age,Salary,Purchased
Aishani,37.0,56155,No
Daksh,41.0,27192,No
Gopal,32.0,98867,No
Vedhika,23.0,134886,Yes
Gaurangi,48.0,54662,Yes
Wriddhish,25.0,125821,Yes
Urvi,62.0,145218,Yes
Chandresh,60.0,79789,Yes
Nitesh,,146765,Yes
Abhimanyu,56.0,63554,Yes
David,64.0,120130,Yes
Maanas,37.0,67389,No
Ekavir,27.0,90330,Yes
Vivaan,31.0,29094,No
Tejas,31.0,68080,No
Tara,,93781,Yes
Urvashi,,108102,Yes
Bachittar,39.0,106283,Yes
Wridesh,53.0,48586,Yes
Qushi,25.0,107860,Yes
Girik,31.0,54263,No
Yashodhara,21.0,113632,Yes
Gaurangi,62.0,84032,Yes
Elijah,44.0,30102,No
Chakrika,38.0,125274,Yes
Chaman,26.0,96145,No
Ira,43.0,83436,No
Ganga,27.0,121536,Yes
Nicholas,59.0,20668,Yes
Harish,53.0,124407,Yes
Karan,59.0,20694,Yes
Mohini,29.0,61170,No
Nilima,28.0,122370,Yes
Lakshit,62.0,41615,Yes
Warjas,,112768,Yes
Eiravati,,32606,No
Kalpit,25.0,148451,Yes
Manan,52.0,92979,Yes
Anmol,24.0,42955,No
Januja,44.0,116228,Yes
Azad,24.0,66701,No
Dayamai,32.0,115346,Yes
Nakul,55.0,26868,Yes
Omaja,,97816,Yes
Brijesh,40.0,59545,No
Advay,30.0,132208,Yes
Varenya,18.0,105016,Yes
Bimala,49.0,91262,Yes
Omya,57.0,40306,Yes
Omaja,31.0,143406,No
Anusha,,143380,Yes
Zehaan,48.0,24402,Yes
Vanya,18.0,91995,No
Lavanya,,78023,Yes
Chameli,61.0,108181,Yes
Bina,37.0,51302,Yes
Hemangini,20.0,130952,Yes
Madhav,43.0,53917,Yes
Qarin,25.0,115817,Yes
Onveer,42.0,30799,Yes
Yadavi,38.0,39960,No
Champak,41.0,60521,No
Zayyan,57.0,59923,Yes
Ladli,39.0,122392,Yes
Amol,34.0,131210,No
Veda,29.0,120546,No
Wridesh,27.0,135855,Yes
Suhani,20.0,115717,Yes
Ishanvi,35.0,27199,No
Dominic,27.0,57031,No
Thomas,23.0,38073,No
George,30.0,72937,No
Varenya,31.0,133365,Yes
Wishi,19.0,27613,No
Dipta,31.0,125958,No
Yatan,23.0,123751,Yes
Ganga,36.0,83263,Yes
Upkaar,34.0,99793,Yes
Azaan,,20078,Yes
Ishaan,40.0,58196,No
Oeshi,,52161,No
Anusha,64.0,126671,Yes
Dominic,39.0,84034,Yes
Laban,38.0,63726,Yes
Manthan,,22781,Yes
Bakhshi,24.0,71352,Yes
Abha,,41884,No
Andrew,,96048,Yes
Thomas,18.0,34215,No
Darpan,29.0,115375,Yes
Timothy,,24024,No
Gaurangi,43.0,63888,No
Udarsh,,62933,No
Bhavya,60.0,78775,Yes
Hemani,,40939,No
Manya,37.0,104146,No
Yadavi,57.0,37589,Yes
Suhani,63.0,138018,No
Leena,43.0,28258,Yes
Yochana,53.0,120168,Yes
Urishilla,49.0,93349,Yes
Gauri,43.0,48642,No
Ishaan,24.0,91905,Yes
Ekanta,35.0,139929,Yes
Shravya,23.0,132793,Yes
Amrita,20.0,143903,Yes
Yadavi,,57297,No
Upkaar,38.0,40130,Yes
Brinda,,139202,No
Timothy,52.0,61301,No
Jagvi,18.0,28859,Yes
Aarush,36.0,42212,No
Wakeeta,58.0,36878,Yes
Amaira,55.0,137471,Yes
Alka,59.0,108720,Yes
Indira,63.0,142338,Yes
Max,25.0,107627,Yes
Warhi,58.0,138103,Yes
Inaya,28.0,86393,Yes
Vamakshi,48.0,53538,Yes
Urvi,36.0,50736,Yes
Ikbal,34.0,60146,Yes
Harini,43.0,55235,No
Balendra,57.0,147066,Yes
Urvi,48.0,92060,Yes
Jai,56.0,93257,Yes
Advaith,50.0,102428,Yes
Charvi,28.0,84321,Yes
Harinakshi,,91873,Yes
Ethan,38.0,144858,Yes
Devansh,32.0,125916,Yes
Samesh,65.0,52364,Yes
Jagrati,18.0,26169,Yes
Urishilla,40.0,103248,Yes
Triveni,34.0,81137,Yes
Udant,34.0,134535,Yes
Aarush,61.0,30695,Yes
Jalsa,35.0,136990,Yes
Bhavika,43.0,42842,Yes
Wyatt,35.0,104273,Yes
Ishwar,62.0,99971,No
Neha,51.0,101146,Yes
Ekaraj,24.0,147087,Yes
Nihal,34.0,69086,Yes
Kavya,29.0,90593,Yes
Aachal,62.0,31842,No
Avni,48.0,80425,No
Samar,63.0,89768,Yes
Qarin,23.0,144811,Yes
Rudra,31.0,109345,Yes
Warhi,41.0,80842,No
Madhav,24.0,40394,Yes
Vrinda,39.0,33141,No
Urvi,51.0,29754,Yes
Champak,,43089,Yes
Rudra,,108739,No
Samesh,19.0,108457,Yes
Ikbal,27.0,33538,No
Raksha,26.0,116503,No
Forum,22.0,125962,No
Ladli,47.0,83405,Yes
Panini,53.0,143042,No
Dhriti,,101521,Yes
Chandresh,25.0,39144,No
Xiti,,109437,Yes
Rehaan,22.0,119544,Yes
Finn,36.0,146384,Yes
Finn,43.0,35739,No
Janani,63.0,23525,Yes
Lipika,46.0,29906,Yes
Yachana,27.0,44429,No
Jackson,41.0,122231,Yes
Jacob,59.0,114769,Yes
Charan,51.0,60968,No
Aadhya,55.0,65320,Yes
Siddharth,55.0,109654,Yes
Laban,47.0,148366,Yes
Akshay,55.0,95239,No
Mitesh,55.0,49783,No
Jairaj,49.0,124757,Yes
Vamakshi,45.0,81893,Yes
Abhiram,54.0,112396,Yes
Lakshit,57.0,127582,Yes
Lopa,35.0,69296,Yes
Harsh,29.0,47829,No
Ekavir,24.0,58035,No
Tara,65.0,105272,Yes
Dayita,36.0,148189,Yes
Onveer,35.0,80133,Yes
Chakradhar,28.0,143286,Yes
Harsh,31.0,131602,Yes
Gaurang,23.0,70637,No
Diya,48.0,97446,Yes
Jatin,18.0,100914,Yes
Zarna,,116307,No
Avi,49.0,122440,Yes
William,38.0,52802,No
Bina,34.0,68772,No
Saanvi,,111026,Yes
Vihaan,34.0,88844,No
Chakradev,62.0,133091,Yes
Nilima,,138114,Yes
Christopher,21.0,73018,No
Frado,64.0,38526,No
Nathaniel,,83656,Yes
Dalbir,55.0,74995,Yes
Anusha,54.0,100060,Yes
Kashish,57.0,21446,Yes
Pratyush,22.0,55036,No
Faras,,78945,Yes
Pratyush,31.0,106698,No
Mitesh,28.0,122126,No
Xavier,33.0,69398,No
Raksha,,104895,Yes
Nimrat,19.0,33522,No
Isha,51.0,31903,No
Libni,29.0,111462,Yes
Pallavi,18.0,40913,No
Gautami,65.0,145741,Yes
Leela,30.0,111729,Yes
Edhitha,47.0,47109,Yes
Garima,32.0,49918,No
Anthony,52.0,140984,Yes
Kabir,,133247,Yes
Daksh,20.0,69812,Yes
Anirudh,55.0,36472,Yes
Advay,41.0,63049,No
Rayaan,20.0,121190,No
Brinda,20.0,66627,No
Idika,,48754,No
Sneha,63.0,49819,Yes
Sanya,28.0,131572,Yes
Manbir,57.0,35968,Yes
Advay,23.0,102413,Yes
Dhruv,65.0,131753,Yes
Riya,,59196,No
Jacob,28.0,68481,Yes
Zaid,32.0,98423,Yes
Jagvi,21.0,112212,Yes
Tanay,23.0,24674,No
Gautam,18.0,97102,Yes
Vanya,46.0,107477,Yes
Rudra,,109400,Yes
Ridhi,,50122,No
Rayaan,59.0,52510,Yes
Ladli,37.0,51437,Yes
Baljiwan,63.0,64431,No
Mohammed,44.0,112454,Yes
Krisha,27.0,125211,Yes
Aarnav,30.0,50758,No
Chavvi,37.0,69988,No
Gauri,34.0,133161,Yes
Samaksh,20.0,54255,No
Ekbal,40.0,134949,Yes
Jalsa,49.0,67323,Yes
Dakshesh,,48423,Yes
Chameli,,125229,No
Naksh,53.0,72595,Yes
Vinaya,47.0,21005,Yes
Daksh,63.0,117882,Yes
Vedant,22.0,122198,Yes
William,31.0,118229,No
Yug,,129807,Yes
Yoshita,40.0,65944,No
Kala,33.0,116282,Yes
Tanay,22.0,139925,Yes
Kala,33.0,98641,Yes
Vasatika,20.0,78078,No
Ronith,61.0,65862,Yes
Sachi,44.0,64937,Yes
Amaira,65.0,82375,Yes
Omaja,,92190,No
Harita,46.0,96101,Yes
Ishita,60.0,113932,Yes
Raksha,40.0,137148,No
Divya,,77091,Yes
Avi,55.0,97762,Yes
Ryan,35.0,131516,No
Ishita,50.0,144494,Yes
Jagrati,19.0,121016,Yes
Brijesh,54.0,23917,Yes
Mohammed,64.0,70218,Yes
Faqid,,48400,Yes
Imaran,25.0,33284,Yes
Vidhi,44.0,133771,Yes
Atharv,20.0,147708,Yes
Falak,42.0,133147,No
Watika,24.0,72522,Yes
Vinaya,55.0,49456,Yes
Vrishti,55.0,45510,Yes
Nimrat,56.0,66186,Yes
Ikshita,45.0,121420,Yes
Avi,64.0,41791,Yes
Odika,,138102,Yes
Vinaya,32.0,53419,Yes
Harish,,91598,Yes
Samar,42.0,86776,No
Mason,31.0,107570,Yes
Ekansh,26.0,21661,No
Harita,34.0,90351,Yes
Manan,38.0,63947,No
Brijesh,37.0,78373,No
Bishakha,,20972,No
Upkaar,59.0,144122,Yes
Samuel,29.0,96458,Yes
Indali,26.0,50499,No
Lohit,,107430,Yes
Maanav,,111104,Yes
Hredhaan,64.0,58345,Yes
Frederick,23.0,124665,Yes
Anusha,56.0,35474,Yes
Ayush,26.0,38822,Yes
Janaki,47.0,52545,Yes
George,57.0,78200,Yes
Ubika,,83430,Yes
Devansh,43.0,94862,Yes
Saumya,24.0,135318,Yes
Luke,35.0,115518,Yes
Meera,53.0,125151,Yes
Yashvi,29.0,129219,Yes
Bhavini,51.0,75154,Yes
Yash,34.0,146279,Yes
Yoshita,45.0,43350,No
Hemang,52.0,58556,Yes
Simon,49.0,141095,Yes
Waida,,23009,No
Ekaja,49.0,92342,Yes
Aadi,,108338,Yes
Sarthak,22.0,92684,Yes
Upma,44.0,128459,Yes
Ojasvi,41.0,131360,Yes
Megha,36.0,32896,No
Nakul,63.0,116309,No
Oscar,65.0,38184,Yes
Naksh,33.0,69530,No
Lila,,66999,No
Aashi,40.0,46932,No
Ishani,32.0,41252,No
Yashodhara,18.0,109938,Yes
Advik,45.0,41762,No
Nandini,,56200,No
Vaishnavi,57.0,75119,Yes
Rushil,,29075,No
Alexander,33.0,22873,No
Varenya,39.0,125938,Yes
Daksha,56.0,79440,Yes
George,21.0,137174,Yes
Frado,59.0,112211,Yes
Vinaya,26.0,97396,No
Nandini,26.0,62155,No
Qadim,51.0,148429,No
Ranveer,27.0,49635,No
Omkaar,39.0,48015,No
Dalaja,,95473,Yes
Kashvi,35.0,129479,Yes
Nachiket,,104325,Yes
Pratyush,20.0,35437,Yes
Leena,25.0,57108,No
Ekaja,,87161,No
Sneha,52.0,80132,Yes
Bachittar,31.0,26428,No
Joshua,63.0,66395,Yes
Chatresh,,128869,No
Dayamai,25.0,128794,Yes
Om,48.0,38569,Yes
Hritik,57.0,83187,Yes
Ganga,25.0,112998,No
Tejas,40.0,137588,Yes
Omya,54.0,128382,Yes
Edhitha,23.0,116102,Yes
Aarini,,22607,Yes
Ishanvi,31.0,100978,Yes
Zehaan,,51795,Yes
Wazir,54.0,33648,Yes
Ubika,58.0,120115,No
Waida,39.0,133132,Yes
Anamika,25.0,32705,No
Girish,41.0,93452,Yes
Maanav,43.0,24365,No
Vivaan,29.0,109511,No
Amol,,79947,Yes
Samesh,59.0,46639,No
Dayamai,,142427,Yes
Damyanti,24.0,118378,Yes
Netra,,92693,Yes
Arunima,34.0,37454,No
Daksh,53.0,97929,No
Aarna,54.0,39731,Yes
Chanakya,30.0,77382,Yes
Ayaan,58.0,42749,Yes
Udarsh,48.0,76421,Yes
Anay,49.0,131142,Yes
Michael,37.0,144983,No
Yashawini,58.0,25335,Yes
Tara,25.0,20020,No
Abha,59.0,41350,No
Warinder,63.0,98976,Yes
Shravya,52.0,59970,Yes
Vasatika,25.0,26257,Yes
Forum,26.0,28261,Yes
Owen,58.0,106739,Yes
Indira,52.0,85558,Yes
Azad,48.0,128654,Yes
Vyanjana,57.0,55175,Yes
Nakul,56.0,75922,Yes
Pahal,,21889,No
Tanveer,62.0,24004,No
Teerth,36.0,66418,Yes
Yamini,62.0,72986,Yes
Abeer,44.0,41602,No
Bhavani,23.0,108995,No
Frado,54.0,79243,Yes
Yashvi,30.0,145107,Yes
Darika,22.0,33590,Yes
Darsh,28.0,21475,No
Janani,61.0,124255,Yes
Indali,37.0,135585,Yes
Widisha,22.0,122313,Yes
Xalak,24.0,71003,No
Arunima,37.0,75419,No
Ekansh,45.0,104763,No
Mohammed,60.0,75001,Yes
Oni,65.0,94316,Yes
Bakhshi,55.0,29524,Yes
Manan,19.0,144017,Yes
Umang,48.0,99937,Yes
Dayamai,42.0,20260,No
Neelima,20.0,122592,Yes
Ekapad,,74842,No
Champak,,37918,Yes
Ekaja,21.0,94499,Yes
Jeet,,93453,Yes
Dominic,64.0,38970,Yes
Samesh,54.0,59476,Yes
Warinder,65.0,96581,Yes
Rushil,29.0,35368,Yes
Hemangini,39.0,67566,No
Champak,36.0,94519,Yes
Vedant,27.0,71532,Yes
Dalbir,53.0,117842,Yes
Kalpit,46.0,42864,Yes
Lila,22.0,39356,No
Ryan,49.0,143330,Yes
Dhruv,42.0,146953,Yes
Shivani,38.0,46060,No
Krisha,31.0,27260,No
Janya,,22702,No
Ekbal,,91079,No
Oeshi,55.0,48172,Yes
Alexander,22.0,44379,No
Wridesh,63.0,27685,Yes
Hemani,,102092,No
Edhitha,,41997,No
Nimrat,34.0,147677,Yes
Urishilla,21.0,114787,Yes
Baljiwan,35.0,136308,Yes
Ronith,51.0,48273,Yes
Robert,42.0,148511,Yes
Oscar,51.0,75159,Yes
Chakradev,22.0,101673,Yes
Ayaan,,105308,Yes
Ridhi,18.0,114485,Yes
Theodore,63.0,89823,Yes
Dhruv,31.0,139205,Yes
Amara,37.0,110785,No
Ayush,33.0,92914,No
Ekani,36.0,116834,Yes
Sachi,46.0,28558,Yes
Frado,38.0,32738,No
Vanya,56.0,114733,Yes
Rushil,63.0,143268,Yes
Timothy,53.0,46926,No
Harinakshi,,25772,No
Sara,58.0,41131,Yes
Pratyush,36.0,124760,No
Advika,28.0,94402,Yes
Tanish,43.0,41499,Yes
Arunima,42.0,44961,No
Fariq,57.0,26616,Yes
Ojas,,128547,No
Azaan,29.0,26503,No
Chakrika,56.0,29928,No
Arya,58.0,146238,Yes
Vritti,,96960,Yes
Lohit,42.0,39534,No
Ojasvi,28.0,126786,Yes
Vrishti,24.0,38902,No
Raagini,40.0,104291,No
Yashvi,29.0,138815,Yes
Chakradev,28.0,100216,Yes
Hemal,41.0,129084,Yes
Advik,20.0,62427,No
Ridhi,47.0,96635,Yes
Urvashi,,66608,No
Kamala,50.0,84582,Yes
Unnati,56.0,65277,Yes
Maanas,58.0,133202,Yes
Aryan,53.0,26001,Yes
Darika,47.0,126039,Yes
Patrick,57.0,114935,Yes
