Name,Age,Salary,Purchased
Rohan,26.0,97474,0
Vikram,47.0,112731,0
Krishna,47.0,135448,0
Pooja,40.0,62441,1
Krishna,49.0,80393,1
Aisha,23.0,91703,1
Kavya,45.0,68125,1
Karan,35.0,109791,1
Rahul,41.0,132825,0
Kavya,56.0,82799,1
Diya,40.0,77224,0
Sanjay,47.0,44262,0
Ananya,19.0,50934,0
Krishna,39.0,144180,0
Sneha,18.0,71271,0
Aditya,38.0,63765,0
Sneha,54.0,45309,1
Diya,47.0,86813,0
Neha,39.742222222222225,143874,1
Sanjay,39.742222222222225,79098,0
Aarav,20.0,143012,0
Priya,49.0,135133,1
Neha,38.0,64764,0
Amit,37.0,61395,0
Vivaan,18.0,48793,1
Simran,57.0,100672,1
Rahul,54.0,47574,0
Priya,41.0,128268,0
Ishita,32.0,111769,0
Aditi,20.0,130185,1
Rahul,32.0,88932,1
Pooja,52.0,97124,0
Priya,30.0,26062,0
Rahul,35.0,48524,0
Ananya,60.0,105219,0
Rohan,59.0,52192,0
Karan,18.0,54703,1
Sneha,29.0,75517,1
Aarav,39.742222222222225,80069,1
Raj,52.0,123142,0
Sneha,48.0,34348,0
Simran,28.0,146790,0
Rohan,46.0,129592,0
Raj,50.0,79693,0
Sanjay,33.0,43017,1
Ananya,42.0,34860,0
Aarav,39.742222222222225,25728,0
Vikram,37.0,30713,1
Karan,53.0,54189,0
Kavya,33.0,29432,1
Rahul,38.0,113726,0
Rahul,54.0,51790,0
Arjun,37.0,33335,1
Vivaan,39.0,46352,0
Ananya,29.0,59674,1
Aditi,39.742222222222225,112369,0
Meera,60.0,59911,0
Nisha,36.0,59349,0
Aditya,42.0,129680,1
Meera,35.0,114780,0
Ananya,57.0,114339,1
Meera,52.0,69238,1
Vikram,43.0,89291,0
Sneha,45.0,104459,0
Arjun,39.742222222222225,136317,1
Aarav,29.0,141664,0
Riya,42.0,91234,0
Arjun,39.742222222222225,57479,1
Priya,44.0,109717,0
Rahul,54.0,149707,1
Aarav,56.0,84163,1
Priya,42.0,128214,1
Riya,53.0,31371,1
Vikram,20.0,50289,1
Riya,18.0,142611,1
Ananya,49.0,132892,1
Ishita,39.742222222222225,42144,1
Neha,19.0,49504,0
Rahul,49.0,124835,0
Aarav,42.0,37015,0
Meera,47.0,140359,1
Ananya,43.0,146507,0
Priya,49.0,64749,0
Kavya,39.742222222222225,57201,1
Rohan,37.0,80658,0
Arjun,46.0,86629,1
Amit,19.0,30569,1
Karan,32.0,48714,0
Priya,39.742222222222225,63088,1
Neha,44.0,139065,1
Pooja,27.0,37910,1
Karan,60.0,130654,1
Aditi,29.0,128081,1
Aditya,19.0,94172,0
Sai,52.0,60909,1
Sai,49.0,31970,1
Meera,24.0,53016,0
Raj,52.0,108460,0
Kavya,45.0,92641,1
Sai,39.742222222222225,129573,0
Aisha,27.0,136076,0
Aditi,24.0,46677,0
Neha,29.0,29158,1
Pooja,56.0,55354,0
Vihaan,58.0,46732,0
Rohan,21.0,130787,1
Ishita,56.0,90545,1
Krishna,35.0,97267,1
Arjun,25.0,29632,1
Rahul,33.0,142520,0
Priya,58.0,111704,0
Simran,18.0,80129,1
Vihaan,46.0,49285,0
Meera,47.0,83017,0
Sneha,37.0,130570,0
Aarav,53.0,139825,0
Priya,26.0,136195,1
Vihaan,58.0,95340,0
Simran,24.0,64811,0
Aditya,42.0,62892,0
Riya,23.0,83243,1
Aarav,33.0,29809,1
Aditi,26.0,60270,0
Aarav,49.0,86529,0
Pooja,32.0,133492,1
Aditi,51.0,39388,1
Arjun,18.0,48833,0
Pooja,51.0,53699,0
Aditya,34.0,82091,0
Vivaan,46.0,109076,1
Amit,39.0,44870,1
Ananya,28.0,113858,1
Amit,27.0,25055,1
Rahul,56.0,32357,0
Sanjay,39.742222222222225,80123,0
Aditi,46.0,95173,1
Sai,19.0,100745,1
Diya,56.0,45559,1
Kavya,23.0,136732,1
Rohan,41.0,131357,1
Meera,36.0,146465,0
Neha,34.0,124657,0
Vihaan,33.0,30126,1
Neha,28.0,61208,1
Sneha,56.0,47415,0
Aisha,29.0,82854,0
Karan,18.0,69261,0
Nisha,35.0,107637,0
Sanjay,54.0,78871,1
Ishita,25.0,135008,0
Pooja,46.0,115825,0
Krishna,44.0,149454,0
Sneha,52.0,31229,0
Meera,49.0,109665,1
Sneha,51.0,39489,1
Kavya,33.0,35488,0
Sneha,39.0,48960,0
Vivaan,34.0,53732,1
Sneha,45.0,58591,1
Aisha,33.0,40034,1
Vivaan,50.0,46949,1
Rahul,56.0,69482,0
Amit,39.0,61586,0
Krishna,59.0,53295,1
Arjun,39.742222222222225,124518,1
Aditya,52.0,125497,1
Vikram,36.0,69247,1
Neha,56.0,38807,0
Sai,18.0,43777,1
Vivaan,31.0,40485,0
Vihaan,54.0,103859,1
Sai,55.0,52355,0
Diya,22.0,87680,1
Diya,21.0,62131,1
Arjun,39.742222222222225,139937,1
Pooja,41.0,141868,1
Karan,57.0,108807,1
Vivaan,43.0,48954,0
Vivaan,24.0,78932,0
Vivaan,26.0,29748,1
Diya,50.0,74922,0
Diya,49.0,81178,0
Kavya,39.0,30240,0
Priya,43.0,147402,0
Rohan,59.0,148961,0
Vivaan,39.742222222222225,35478,1
Vikram,39.0,62744,1
Aditya,39.742222222222225,41748,1
Sanjay,54.0,105719,1
Priya,47.0,133319,1
Aditya,37.0,80479,1
Neha,25.0,137734,0
Vivaan,39.742222222222225,82108,0
Ananya,34.0,119456,0
Rohan,44.0,59578,0
Aditi,39.742222222222225,44087,1
Sanjay,34.0,140765,1
Riya,50.0,75428,0
Aisha,28.0,149049,1
Vihaan,39.742222222222225,134779,1
Aditya,22.0,135698,1
Kavya,45.0,120084,0
Neha,23.0,62626,0
Arjun,20.0,116362,1
Pooja,54.0,67918,0
Meera,23.0,127023,0
Riya,41.0,25404,0
Rahul,28.0,81570,0
Sneha,52.0,128605,1
Nisha,22.0,118714,0
Vihaan,52.0,147418,1
Aarav,24.0,74407,1
Sai,18.0,48061,0
Kavya,43.0,112044,0
Vikram,32.0,34435,1
Rahul,20.0,42100,1
Neha,39.742222222222225,116865,0
Meera,41.0,116267,1
Amit,39.0,70002,1
Amit,35.0,84494,1
Riya,49.0,38116,1
Krishna,49.0,107838,1
Rohan,19.0,30486,0
Karan,60.0,113869,1
Aditya,39.742222222222225,128033,1
Pooja,39.742222222222225,70106,0
Aditi,41.0,75343,1
Nisha,43.0,137816,0
Nisha,19.0,36023,1
Diya,49.0,135951,0
Aditya,50.0,118045,0
Sneha,53.0,96180,1
Ishita,38.0,94896,1
Riya,59.0,72280,1
Aisha,54.0,42640,0
Rohan,53.0,91040,1
Diya,40.0,112505,1
Aditi,50.0,81800,0
Aisha,36.0,70445,1
Raj,22.0,51962,1
Amit,34.0,36130,0
Nisha,39.742222222222225,33415,1
Arjun,39.742222222222225,32561,1
Meera,25.0,31090,0
Sneha,58.0,93866,1
Riya,31.0,57307,0
Rohan,52.0,97274,0
Aisha,45.0,80645,0
Pooja,23.0,129346,0
Riya,37.0,59816,0
Krishna,20.0,100880,1
Aditi,46.0,137428,0
Rohan,25.0,84031,0
Nisha,41.0,33702,1
Kavya,41.0,136927,0
Neha,24.0,108285,1
Raj,50.0,75990,0
Rohan,38.0,104104,0
Arjun,33.0,82043,1
Aditya,50.0,77528,1
Rohan,58.0,67348,0
Rahul,55.0,117193,0
Nisha,20.0,122007,1
Ananya,43.0,46545,0
Nisha,24.0,146954,1
Ananya,20.0,97936,1
Priya,52.0,129293,1
Vikram,59.0,90215,0
Priya,28.0,56921,1
Ananya,21.0,29621,1
Pooja,44.0,64954,0
Neha,22.0,143831,1
Rahul,57.0,83141,0
Riya,25.0,72926,0
Aditi,29.0,95080,0
Aditi,30.0,101539,0
Kavya,29.0,77796,1
Amit,56.0,64298,0
Sneha,51.0,46689,1
Krishna,47.0,67344,0
Amit,43.0,28709,1
Neha,34.0,139813,1
Meera,40.0,86476,0
Meera,42.0,106317,1
Simran,20.0,60854,0
Amit,53.0,113461,0
Kavya,50.0,86877,0
Kavya,41.0,137856,1
Arjun,45.0,59620,0
Sai,42.0,89895,1
Ishita,22.0,36637,0
Ishita,60.0,35267,0
Vivaan,51.0,104252,0
Sai,37.0,107844,0
Rahul,50.0,81397,1
Rahul,54.0,25302,0
Krishna,56.0,84399,0
Sanjay,59.0,86886,0
Meera,48.0,149704,1
Karan,39.742222222222225,72605,1
Krishna,23.0,80284,1
Diya,44.0,32239,1
Aditya,52.0,131476,1
Aditi,52.0,71540,0
Krishna,46.0,51734,1
Karan,21.0,107152,1
Rahul,22.0,119074,1
Vivaan,42.0,68088,0
Vihaan,46.0,75612,0
Nisha,34.0,58307,1
Vivaan,44.0,86642,0
Vikram,43.0,85921,0
Sneha,53.0,52532,0
Priya,39.742222222222225,61668,1
Vikram,49.0,91203,0
Vihaan,47.0,131884,0
Krishna,28.0,65943,0
Sai,39.742222222222225,62080,1
Raj,57.0,130955,0
Kavya,59.0,94724,0
Vihaan,46.0,95640,1
Ananya,27.0,92661,1
Meera,43.0,31168,0
Vihaan,52.0,114112,0
Aisha,46.0,68221,1
Nisha,32.0,102052,0
Aditi,51.0,45159,1
Rohan,24.0,61939,1
Neha,57.0,43384,1
Priya,43.0,120257,1
Vivaan,49.0,94836,0
Simran,25.0,149097,0
Rohan,43.0,108251,0
Simran,19.0,120462,0
